timestamp,ride_id,vehicle_type,scheduled_pickup_time,auction_start_time,auction_amount,auction_currency,pickup_location,dropoff_location,distance,duration,meet_and_greet,has_driver_instruction,is_available,can_accept,meets_criteria,rejection_reason
2025-05-25 12:08:18,4792399,Sedan,2025-05-26 17:25,2025-05-25 10:52,60.00,MYR,"Kuala Lumpur International Airport (KUL), 64000 Sepang, Selangor, Malasia","Star KLCC By Moonlight, Star Residences One, 15, Jalan Yap Kwan Seng, Kampung Baru, 50350 Kuala Lumpur, Wilayah Persekutuan Kual",66088,3210,True,False,True,True,False,Does not meet acceptance criteria
2025-05-25 12:08:18,4792417,Sedan,2025-05-27 15:25,2025-05-25 11:12,60.00,MYR,"Kuala Lumpur International Airport (KUL), 64000 Sepang, Selangor, Malaysia","Geo Bukit Rimau Apartment, Pangsapuri Geo Bukit Rimau, Jalan Sungai Burung 32/68, Seksyen 32, Bukit Rimau, 40460 Shah Alam, Sela",60112,2823,True,False,True,True,True,N/A
2025-05-25 12:47:36,3663211,Sedan,2025-05-26 12:00,2025-05-25 12:41,60.00,MYR,Royce Residence KLCC,吉隆坡 T2,58930,2367,False,False,True,True,False,Does not meet acceptance criteria
2025-05-25 12:47:36,4792415,MPV-4,2025-05-29 16:50,2025-05-25 18:00,73.48,MYR,"Kuala Lumpur International Airport (KUL), 64000 Sepang, Selangor, Malaysia","Le Vert Boutique Hotel, 21078, Jalan Permai 2, Genting Permai Avenue, 69000 Genting Highlands, Pahang, Malaysia",105215,5217,True,False,True,False,False,Cannot accept
2025-05-25 12:47:36,4792517,Sedan,2025-05-30 15:10,2025-05-25 18:00,60.00,MYR,"Kuala Lumpur International Airport (KUL), 64000 Sepang, Selangor, Malaysia","Unnamed Road, Kuala Lumpur City Centre, 50450 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",66498,3310,True,False,True,False,False,Cannot accept
2025-05-25 12:47:36,4792358,MPV-5,2025-05-30 19:35,2025-05-25 18:00,90.00,MYR,"Kuala Lumpur International Airport (KUL), 64000 Sepang, Selangor, Malaysia","Premier Sky Pool At Star klcc, Colony, Level 5, Star Boulevard, 1, Jalan Yap Kwan Seng, Kampung Baru, 50450 Kuala Lumpur, Wilaya",66391,3242,True,False,True,False,False,Cannot accept
2025-05-25 12:47:36,4792415,MPV-4,2025-05-29 16:50,2025-05-25 18:00,73.48,MYR,"Kuala Lumpur International Airport (KUL), 64000 Sepang, Selangor, Malaysia","Le Vert Boutique Hotel, 21078, Jalan Permai 2, Genting Permai Avenue, 69000 Genting Highlands, Pahang, Malaysia",105215,5217,True,False,True,False,False,Cannot accept
2025-05-25 12:47:36,4792517,Sedan,2025-05-30 15:10,2025-05-25 18:00,60.00,MYR,"Kuala Lumpur International Airport (KUL), 64000 Sepang, Selangor, Malaysia","Unnamed Road, Kuala Lumpur City Centre, 50450 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",66498,3310,True,False,True,False,False,Cannot accept
2025-05-25 12:47:37,4792359,MPV-5,2025-06-01 19:00,2025-05-25 18:00,90.00,MYR,"Premier Sky Pool At Star klcc, Colony, Level 5, Star Boulevard, 1, Jalan Yap Kwan Seng, Kampung Baru, 50450 Kuala Lumpur, Wilaya","Kuala Lumpur International Airport (KUL), 64000 Sepang, Selangor, Malaysia",66818,3246,False,False,True,False,False,Cannot accept
2025-05-25 12:47:37,4792517,Sedan,2025-05-30 15:10,2025-05-25 18:00,60.00,MYR,"Kuala Lumpur International Airport (KUL), 64000 Sepang, Selangor, Malaysia","Unnamed Road, Kuala Lumpur City Centre, 50450 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",66498,3310,True,False,True,False,False,Cannot accept
